"final_category","narrative_1","synopsis","assessments","events","events_6","phase","component","component_4","person_1_8"
"OTHER","Air carrier Captain reported a taxi chart discrepancy at LAX identifying a specific intersection on the taxi chart in the EFB. The performance data identified the intersection but the Captain indicated the taxiway intersection was not identified on the charts.","LAX charts contains text telling crews to anticipate an ATC request for runway 06R departure from intersection BB. Additionally; requested Dispatch Takeoff Data include partial runway 06R data for intersections BB & AA. Neither the LAX [Jeppesen] charts nor the LAX AMM (Airport Moving Map) show a BB (or AA) intersection at runway 06R.","Chart Or Publication; Software and Automation; Human Factors","Deviation / Discrepancy - Procedural Published Material / Policy","General None Reported / Taken","Parked","","","Human-Machine Interface; Situational Awareness"
"OTHER","A Dispatcher reported a flight not equipped with ozone converters was dispatched at an altitude in an area of Ozone.","Noticed aircraft from ZZZ-ZZZ1 was flying at FL380 and in an area of OZONE FPG FL360-FL600. I sent an acars message to the crew that B737's do not have OZONE scrubbers and to descend to FL340 to avoid the area. I did not plan this flight as it was done on the overnight shift. The aircraft had a fuel imbalance and I added more fuel to correct the imbalance; without realizing flight was filed in a OZONE FPG area.Cause: Flight Keys Ozone color is same color as all FPG/SIGMETS and is in lighter intensity; so It can go unnoticed. I do not know if overnight dispatcher had OZONE FPG setting turned on on their Fusion monitor and/or FKY map display.Suggestions: Rechecking to make sure OZONE FPG/s are turned on and to have FKY color changed to be more distinctive than the other FPG/s.","Aircraft; Manuals; Weather","Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Inflight Event / Encounter Weather / Turbulence","Flight Crew FLC complied w / Automation / Advisory; Flight Crew Overcame Equipment Problem","Cruise","Oxygen System/General","Design; Improperly Operated","Situational Awareness"
"OTHER","Air carrier flight crew reported they were using the wrong altimeter setting while descending on approach which resulted in being below glidepath and a Caution Obstacle alert.","I was pilot monitoring. We were cleared for visual approach to runway XX to ZZZ. Backed up by the RNAV Z XX approach. Wx conditions: sky clear; XX nm vis; winds XXX XX gust XX. Wind shear advisory's in affect and reported within last 10 minutes. On approximately a 3 mile final we received a Caution Obstacle"" annunciation. The captain who was flying immediately disconnected the auto pilot and momentarily leveled. Upon looking outside and verifying we were slightly below glide path per the PAPI we immediately corrected to on glide path via the PAPI and continued the arrival to an uneventful landing. Suggestions: The two main factors that played a role here were expectation bias as well as over focusing on wind/windshear allowing for a slightly low approach. The bigger issue was that upon correcting our descent to align exclusively with the PAPI and disregarding in aircraft glide path indicators we realized we had never been given and had therefore never updated the on field altimeter setting. We had been given an altimeter of 29.89 on initial contact with approach; but never had received an updated setting for the field which was reporting an altimeter of 29.77. This caused our low glide path into the airport and we should have caught it. I believe we missed it because we were over fixated on airspeed and expecting wind shear rather than looking at the approach as a whole. In summary I would say my biggest takeaways would be: 1. always double check altimeter setting on the field regardless of conditions and don't expect ATC to give it to you. 2. Don't let one adverse condition (in this case windshear potential) allow you to miss other equally important parts of safe operation""","Procedure; Human Factors; Weather","ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Clearance; Flight Crew Became Reoriented","Initial Approach","","","Distraction; Situational Awareness; Human-Machine Interface; Confusion"
"OTHER","PA-44 commercial pilot applicant and check pilot reported an aircraft loss of control while performing a single engine approach circle to land in visual conditions. The check pilot took control from the applicant; maneuvered to another runway; and landed without a landing clearance from the tower.","Completing a checkride practical test for the Cpl multi-engine add-on rating. I had completed the RNAV XXR approach with left engine simulated inoperative. I received clearance to circle to land on runway YYR. During the circling approach; I banked left into the simulated inoperative engine and added power causing the airplane's nose to rise and begin to yaw to the left. At this point I was on a southbound heading to join the downwind for YYR and approximately abeam runway XXL. I began to reduce power and bank and attempt to apply more rudder to put the airplane in the correct attitude; but the examiner asked me loudly 'what are you doing!' in a slightly panicked tone. He believed that I was meant to land on runway XXL instead of fly past it. I think he was also surprised by the sudden change of airplane attitude. He took controls and steeply veered to the right with a bank of 50 degrees. He flew back to runway XXL and proceeded to attempt a landing. Prior to touchdown I informed him that I had communicated with tower and was pretty sure the clearance I received was for YYR. He also heard this during the approach to XXR. He ignored me and continued to make the landing on XXL and then vacate the runway. Starting to believe that he was right. And I was wrong about which runway we were cleared to; I remained silent during the final parts of the landing. We both were looking for traffic as soon as he had aligned the aircraft with XXL; despite the confusion. There were no aircraft nearby during the landing and the runway was empty. The landing took approximately two thirds of the length of the runway. Upon vacating the runway; the tower informed us to contact ground. Ground then told us it was a possible pilot deviation and to call the tower after we park the aircraft. Although I was PIC of the flight from a training/examination perspective; it was discussed and confirmed in the pre-flight that if the examiner were to take controls; he is the PIC and I must give him the controls. Positive exchange of controls did occur in this flight when the examiner initially took control of the airplane. In regards to the airplane attitude prior to the examiner taking control - I do accept that I had added too much power but I was unable to correct this as the examiner took controls far too fast. It was definitely not an [priority handling] situation and I am fully confident that I would have fixed airspeed; bank; altitude and whatever else was necessary has the examiner not taken controls. The reason he took the controls is because he thought we were landing on XXL. The examiner did not request an [priority handling] or even attempt to contact the tower or do a go-around procedure. The examiner did not restore power to the simulated inoperative engine until very close to touchdown. If there was any type of dangerous airplane attitude; the examiner should take controls and recover; then proceed to turn base for runway YYR and land on the appropriate runway. I had completed all maneuvers; landings and takeoffs; [priority handling] scenarios etc.; in this aircraft prior to this final approach. There were no issues; meaning that I am confident to say I would have fixed any low altitude or over-banking that may have occurred in the seconds before the examiner grabbed controls. I do not believe it is my fault that the aircraft landed on the incorrect runway. The examiner had total control of he aircraft and I had informed him that the clearance was for YYR.","Human Factors; Aircraft","Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Landing Without Clearance; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Weather / Turbulence","Flight Crew Took Evasive Action","Final Approach","Engine","Improperly Operated","Communication Breakdown; Training / Qualification; Situational Awareness"
"OTHER","Air carrier Captain reported an excessive bank angle when correcting a turn from a heading deviation while climbing on a departure procedure. The pilot recovered the bank angle and followed ATC instructions and continued the flight.","(The following incident occurred over approximately 1 minute and 30 seconds after departure from Newark).We were cleared for the Newark5 Departure to 2500 and to expect vectors on course. Departures at that time were from runway 22R intersection M. The FO and I reviewed the plate and discussed the threats because neither of us regularly operate out of Newark. We talked about the notes about avoiding LNAV on the company pages. Then I briefed the departure and explained that it would be hand flown using Heading Mode; we built the box accordingly with the appropriate frequency and distance ring. Performance data gave flaps 5 and due to the gusty winds we elected to conduct the max thrust takeoff procedure. Everything between the gate; taxi and takeoff was normal.We were cleared for takeoff at approximately XA:36Z. At 400' I began the left turn to 190 and we were handed off to Newark Departure (119.200). We checked in and the instructions we received were to 'turn left heading three-zero-zero; climb and maintain one-zero-thousand'. FO readback the instructions; spun the heading bug left to 300 and set the correct altitude. I verified each. At the same time we were beginning the cleanup phase but I noted to the FO that although I wasn't certain this instruction seemed non -standard so I intended to temporarily keep the flaps at 1 and the speed at 210 to help keep the turn radius tight and the climb steep. My thought was that perhaps they were planning to have us cross over the field at 10;000 similar to how LAX occasionally handles vectored departures; but I don't operate out of Newark often so I wasn't certain about this. Either way I didn't want the turn radius to be wide. This will be very relevant later.It took about 30 seconds for Newark Departure to come back on the radio and ask us why we were going left and to command an immediate right turn to heading 270 (no longer to 300; although later we would be asked to 'please keep turning' as if we just stopped out of non-compliance). This was a major startle for us in the flight deck; we were in a steep climb to the left and being told to immediately bank right. My FO spun the heading bug and I executed the turn. My gut sank out; adrenaline spiked and I became very nervous that we somehow deviated from ATC's instructions. I didn't realize it in the moment but my FO caught it and called out for me to watch my bank which was then around 45 degrees to the right. I believe the startle combined with the spike in stress of a possible deviation; loss of traffic separation or airspace excursion contributed to my over reaction. The aircraft gave the 'bank angle' call two different times during this period; as it rightly should have. A second controller (possibly a supervisor) then came over the radio and commanded us to stop our climb 'now!' and I leveled off; rolled wings level and asked the FO to set 3000' in the altitude window and hit level change. For a moment we tried to re-cage our flight deck and collect ourselves from the startle that just occurred.  We had started to accelerate towards 250 knots when I noticed the speed tape and realized the flaps were still at 1 and called for 'flaps up after takeoff checklist'. I have no reason to believe we exceeded a flap speed; the speed bug never went past 250 from what either of us saw and we never heard an aural alert indicating an overspeed. It was just something that had been lost from our attention in the commotion but we finally got back to it before it became a problem.Between the two controllers we were eventually vectored back to 300 and out of their airspace. I believe the departure controllers realized they had perhaps given the wrong initial instruction and therefore never followed up with us on the issue. Either way it became very troubling for us in the flight deck because we spent the next 4 hours debriefing ourselves about our mistakes: Did we go the wrong way?What had we heard or thought we had heard?What willwe do in the future?Why did I over control the aircraft?What are the passengers thinking?How about the flight attendants?It was very embarrassing. I spoke with the flight attendants a little while later in the flight; explained what had occurred and asked if there were any injuries or concerned passengers and they said it was a little exciting for about thirty seconds but no; there were no injuries and no passengers seemed to really be concerned.","Software and Automation; Human Factors","ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Loss Of Aircraft Control","Air Traffic Control Issued New Clearance; Flight Crew Regained Aircraft Control","Climb","","","Situational Awareness; Communication Breakdown"
"OTHER","Air carrier First Officer reported receiving an obstacle alert on approach to LGA when they descended below charted altitude because they had a wrong altimeter setting selected.","I was pilot monitoring on the RNAV 31 into LGA. After being vectored onto the final approach course the Captain and I were struggling to make out the field with the unfamiliarity of coming into LGA from this direction. Once I made the field; I noticed 4 red on the PAPI's and communicated we were low and recognized it was due to an improper altimeter setting. While communicating we got an 'obstacle' alert and immediately executed the escape maneuver and went around. After clean up we verified with ATC the new ATIS and altimeter setting; set up for another approach and conducted it without any issue.The altimeter setting we had in was 29.95 given by approach for the Philly area. Captain and I talked about how this was a threat because LGA was reporting much lower; 29.77. Once changing over to LGA Approach we were not given a new altimeter setting; but noticed aircraft were being handed off to a Final Approach Controller when crossing the field on the Proud2 arrival and expected the new altimeter setting to be given then. Our Controller then took over vectoring arrivals onto the final approach course and that frequency change never came. It was bumpy and the winds aloft were causing the Controller to give us lots of heading changes as we were getting vectored around that I simply got task saturated and never went back to verifying the local altimeter setting prior to executing the approach.Suggestions: ATC should assist pilots and provide local altimeter settings when checking on with new areas.Add into the pilot monitoring flow for an approach to verify altimeter; as the last time this is done is going through FL180 on the descent checklist which in our case was far enough out we were still in Philadelphia's airspace.","Human Factors","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","Flight Crew Became Reoriented; Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action","Final Approach","","","Communication Breakdown; Situational Awareness"
"OTHER","C182 pilot reported experiencing inflight icing in cruise resulting in temporary loss of aircraft control and a CFTT event. Pilot was able to land safely.","Myself and another instructor had just finished flying and departed from ZZZ headed for ZZZ1. The other instructor was flying the left seat as PIC but I had more experience in the aircraft. We departed around XA00 with the intention of making it to clear skies on the other side of the mountains. As we were just starting to make it into the mountains; our engine made a funny noise and we began to investigate it. Carb Heat was immediately applied and no change was detected except for when we turned the carb heat off. The engine would run rough for just a second and then would return to normal. After adjusting the mixture to a richer setting; the roughness from the carb heat being turned off went away. By this time; the sun had just finished setting and we were losing our visual reference due to a solid overcast layer that dominated the region. We ran into some unforcasted precip at 7;500ft while we were outside of the clouds. A very small amount of ice had accumulated on the wings and we adjusted course to clearer skies to get out of the precip. We asked center if they had any precip on radar; and they advised that they could not see any where we were at. Due to deteriorating conditions; we elected to terminate the flight immediately and found the best weather we could find near us. This led us to ZZZ2 airport which was reporting VFR conditions at the time we selected it. We called center and advised that we would need a pop up IFR and we would be changing destination to ZZZ2. We asked for the RNAV approach and center vectored us for the RNAV XX and gave us a descent instruction to 5;000 feet. I knew this would put us in the overcast layer and we would begin to pick up ice. I advised center that we would not be descending and remaining at 7;500 to limit our exposure to the ice. Center gave us a block altitude and we complied. Center cleared us for the approach and I waited until ZZZZZ to begin my descent to limit my exposure to the ice. As I was flying from the right side of the aircraft; I had a very hard time seeing the HSI and I was all over the place down final. The weather had deteriorated beyond the weather that we had originally picked up. At points on the approach; I had VSI indications of around 2;000ft per minute. I did receive a terrain warning on the Garmin 430 and corrected it appropriately. As we came out of the clouds; I believe I came within 150 ft. of a mountain. I busted the minimums on the approach and the other instructor found the runway. Once I had the runway in site; I pulled the power and dumped the flaps. I possibly oversped the flaps as well. I slipped the aircraft all the way down to find a snow-covered runway. We were able to land without incident and canceled our IFR flight plan. After debriefing myself and the other instructor; we realize that we are very lucky to be alive. We should have never departed ZZZ and waited for the following day for better visibility. I believed that I was invulnerable and was quickly humbled. I hope I never have to experience anything like that again.","Weather; Human Factors","Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence","Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action","Cruise","","","Situational Awareness; Communication Breakdown"
"OTHER","Air carrier Dispatcher reported unable to communicate with a flight for over 4 hours during cruise in oceanic airspace. The flight regained communications with the Dispatcher and ATC when entering VFR radio coverage.","Flight ABCD ZZZ-ZZZZ lost all communication around ZZZZZ for approximately 244 minutes. The aircraft had Satcom deferred with MEL. Dispatch tried using HF radio via ZZZZ radio and ZZZ; as well as ACARS to get a hold of the flight and get a position report but was unsuccessful. The Oceanic Control for the area was also attempting to contact them via HF. A NORDO situation was declared after all communication failed. The operations director and lead Dispatcher assisted Dispatch with other possible avenues for communication and management and FOM guidance. Flight was able to communicate when they entered VHF coverage near ZZZZZ1. A confirmed operations normal was performed on the flight with the appropriate response. When flight landed crew said they lost HF datalink. HF radios were functioning but the connection was too poor to communicate with anyone.At the time of the event Dispatch instructor was training Dispatcher on ZZZ1 OE","Aircraft; Human Factors","ATC Issue All Types; Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Security; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR","Flight Crew Overcame Equipment Problem","Cruise","Air/Ground Communication","Malfunctioning","Communication Breakdown; Training / Qualification"
"OTHER","Air carrier pilots reported they were advised by ATC that their aircraft was below the minimum vectoring altitude.","While briefing for arrival the first officer as pilot flying; briefed a visual approach to runway XX backed up by the ils. The decision of the visual approach was supported by the reported weather at ZZZ. On arrival into ZZZ we were told by approach control to expect the Ils XX; and I read that back. A short time later the first officer stated he had the field in sight; and we did in fact both have the field in sight; but I didn't communicate this to atc at that time. After being cleared for the approach we were approaching ZZZZZ while following the ils approach the first officer; assuming we were cleared for the visual approach; stated he was going to cut the corner and then turned to a heading toward ZZZZZ1 and selected open descent to 7000. This was helping to stay further away from the restricted area just beyond ZZZZZ. There was some discussion between the first officer and I at this time of whether we were cleared for the visual or the ils; and I couldn't remember which one we had actually been cleared for; but the first officer was under the understanding we were cleared for the visual; so we continued on the current path. At the point where we reached 7000 atc contacted us and informed us we were under minimum vectoring altitude and instructed us to climb to 8000 and gave us a slightly different heading which we complied with. Atc then cleared us for the ils approach runway XX in which I read back and we complied. At no point during the course of course of these events did we have any gpws warnings or any other aircraft warnings.  Some of the factors which contributed to this event were an unclear communication between the first officer and I; unclear communication between atc and myself; and the new arrival procedures which had just been implemented about a week prior.  The crew communication being unclear was partially due to the busy environment and trying to accomplish all of our duties at the same time. I should have communicated the field in sight when we had it; and also clarify whether we were cleared for the visual approach or ils with atc even though we were both very busy with him managing flying the aircraft; and me managing the monitoring of everything. We spent a good amount of time prior to entering approach environment in briefing the new procedures; and were clear on how they should be flown and set up for; but were still unsure of how we were going to be controlled by atc through them.","Chart Or Publication; Human Factors; Procedure","ATC Issue All Types; Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented","Initial Approach","","","Communication Breakdown"
"OTHER","Corporate flight crew reported they temporarily lost communication with ATC and flew below the Minimum Vectoring Altitude.","Temporary loss of communication with approach ATC while being vectored towards the ILS. Communication was reestablished crossing through final course and vectors were given around the Missouri City Antennas. The approach and landing were completed without further incident.","ATC Equipment / Nav Facility / Buildings; Human Factors; Aircraft","ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Provided Assistance; Flight Crew Took Evasive Action","Initial Approach","Communication Systems","Malfunctioning","Communication Breakdown"
"OTHER","Tower Controller reported aircraft being held by TRACON to avoid VFR traffic conflict resulting with the aircraft descending rapidly and being issued a low altitude alert.  The aircraft landed safety at the airport.","Aircraft X was on an RNAV approach to RWY16L. There was a VFR aircraft just north of AFW's class D airspace transitioning to the east. This aircraft indicated 022 but was not talking to air traffic and had no ADS-B. Local control tried to issue traffic in the blind with no response. The targets merged over WIGZU; the FAF for RWY16L. D10 had to hold onto Aircraft X until they were past the traffic so that Aircraft X did not descend into the VFR traffic; this led to a late communication switch and added workload for both the Local controller and the approach controller.  Aircraft X also had to descend rapidly which activated the Low altitude alert. The Local controller did issue the low altitude alert and Aircraft X landed without incident.The area near WIGZU continues to be a dangerous area with multiple aircraft crossing this area daily without contacting AFW or D10. The AFW class D should be extended to include WIGZU so that we can talk to and issue traffic advisories to these aircraft.","Human Factors","ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert","Final Approach","","",""
"OTHER","B757 Captain reported they descended below the glidepath on final approach and received a low altitude alert from ATC.","Day VMC at ZZZ. Visual approach to XXR backed up with the ILS. Initially we were told to expect a 9 mile final. We were level at 3000' and outside ZZZZZ when cleared for the approach. FO asked for 2200' in the altitude window and gear down to avoid being high and potentially unstable. We intercepted the glide slope. Shortly after; ATC advised a low level altitude alert and gave us an altimeter setting. There was a momentary deviation below the glide slope that was immediately corrected. We landed and debriefed.","Procedure; Chart Or Publication; Human Factors","ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Provided Assistance; Flight Crew Returned To Clearance; Flight Crew Became Reoriented","Final Approach","","","Situational Awareness; Workload"
"OTHER","Air taxi pilot reported responding to a TCAS RA during approach to HWD which was caused by an aircraft flying near the final approach area and not in communication with ATC. Air taxi flight crew was vectored back for approach and landed.","On descent into HWD; I was the pilot flying with the autopilot on. Approach control had just cleared us for the RNAV 28L. Approach was armed and localizer and glideslope captured. Shortly after ATC advised us of traffic ahead and to our left below us. It was a VFR target and they weren't talking to them. We looked visually and didn't see them. The TCAS gave us a traffic alert. ATC then told us to cancel approach and climb back up to initially 3;400 and then to 4;000. Shortly after the TCAS gave us a RA of monitor vertical speed. Since we were still descending on the approach; I disconnected autopilot and leveled us off and then started to climb back up. We told ATC responding to an RA and need to be resequenced for the approach. Shortly after the TCAS announced clear of conflict. We circled around another approach and landed normally with no further issues. Cause: Unaware VFR traffic not in communication with ATC and turned into final approach area. Suggestions: Perhaps ask ATC for vectors away from traffic earlier before it became a TCAS event.","Airspace Structure; Human Factors","ATC Issue All Types; Conflict Airborne Conflict; Inflight Event / Encounter Unstabilized Approach","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification","Initial Approach","","","Situational Awareness"
"OTHER","CRJ-700 First Officer reported altitude overshoot resulted in GPWS alert and a CFTT event.","Person A was pilot flying (PF) and Person B was pilot monitoring (PM).On the arrival into ZZZ we were being vectored for the visual to Runway XX. We were given a left turn from the downwind to a pseudo left base leg and given clearance for the visual approach XX. Upon receiving this clearance I selected 1900 feet in the altitude selector as we were outside of ZZZZZ for the next point on the approach. We were simultaneously slowing and configuring the aircraft at the time and did not notice the aircraft had descended to 1600. We received a caution obstacle"" alert off of the GPWS from the Tower in line with the LOC of Runway XX. Visual contact was kept at all times and we continued the left turn to the approach course and landed safely.The primary reason behind this issue was the compression of time due to the late configuration.From my perspective; this issue began on the downwind leg. In retrospect; I would have preferred to start slowing down and configuring much earlier to prevent us from becoming overwhelmed with tasks.""","Aircraft; Human Factors; Procedure","Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Flight Crew FLC complied w / Automation / Advisory; Flight Crew Overcame Equipment Problem; Flight Crew Returned To Clearance","Initial Approach","Autopilot","Improperly Operated","Situational Awareness; Time Pressure"
"OTHER","ARTCC Controller reported C172 was not able to climb to altitude which resulted in controller issuing routing with pilot concurrence to maintain terrain clearance until MVA met.","Aircraft X called me off the ground at ZZZ looking for a pop up IFR flight plan out of 056 altitude. Verifying I could communicate with them I asked if they had a flight plan on file; they responded no. I gave them a squawk code and asked if they were qualified and capable of IFR flight. They said yes. I issued a clearance 'leaving 100 cleared to ZZZ1 via direct; climb and maintain 140' for terrain. I asked the pilot for the color of aircraft; souls on board and fuel remaining for the tapes since they didn't file. The aircraft was climbing very slow; and I noticed they were off their course by about 20-30 degrees heading for higher terrain. I asked the pilot to verify they were direct ZZZ1; and they responded with 'we're turning back now; and were unable 140'. I asked if they were able 130 for the MIA (Minimum IFR Altitude) and they responded with no. This should've been communicated with me upon initial clearance; so I could've amended it before they got into the higher terrain. They then tell me they want to change their destination to ZZZ2 while inside a 119 box still climbing out of about 100. I asked if they could maintain their own terrain and obstruction avoidance through 120 and if they were able 120. They said yes to both. I issued a northern heading to the aircraft below terrain to prevent them from entering a 129 box and wanted to get them to lower terrain as soon as possible. Once clear of terrain I gave them a clearance to ZZZ2. Recommendation: No recommendations; this seemed to me like pilot error. I handled it as safely as possible while attending to other traffic conflicts and turbulence reports.","Human Factors","Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Diverted","Climb","","","Time Pressure"
"OTHER","C172 pilot reported while on a practice approach another aircraft reported that they flew right over them and that they took evasive action to avoid a collision.","Aircraft was G1000 Equipped. ADS-B Aircraft Avoidance was not marked inop. Radios were intermittent. Safety Pilot never spotted the aircraft while we were doing a practice approach. Conflicted aircraft avoided. We didn't see the aircraft; no RA alert; no indication from safety pilot that there was an issue.","Human Factors","Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy","Flight Crew Took Evasive Action","Initial Approach","","","Communication Breakdown"
"OTHER","Air taxi Captain reported a NMAC approaching the FAF with a VFR aircraft not in communication with TRACON.","Approximately 2 miles from the IAF OBOPY for the RNAV 28 approach into LAF we had a near miss with a GA airplane. Grissom approach called out the traffic at our 2 oclock and 3500' and and several miles; we were able to make visual contact and locate Aircraft Y on ADSB.  At approximately 2 NM from OBOPPY we noticed the aircraft was descending straight at us. We were on autopilot at the time and I spun the altitude down to roughly 1500' and the VS to about 1500 FPM and announced to Grissom approach that the aircraft was descending into us. The aircraft was on a heading that was about 80 degrees off our right so the heading was unchanged as I felt the best course of action at the given time was to descend straight ahead. Aircraft Y crossed above us at approximately 300 feet as we descended. Grissom approach made several attempts to contact the aircraft but we did not hear a response.","Airspace Structure; Human Factors","Conflict NMAC","Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action","Initial Approach","","","Communication Breakdown; Situational Awareness; Workload"
"OTHER","Air carrier flight crew reported while flying a visual approach they turned base early resulting in an unstabilized approach and late aircraft configuration.","During a very fatiguing day; at the end of the second of three legs; we were cleared for the visual approach for runway XXL while on the downwind leg. A few moments later; tower issued a heading for a base turn close to abeam the final approach fix. We turned to line up for final approach close in to the FAF (Final Approach Fix) while configuring the aircraft for landing. As we passed the FAF I called for flaps 30; the landing configuration; not realizing that we were descending below 1000'.A more thorough approach briefing; referencing the notes in the company pages could have been conducted. Fatigue was also a factor. With our early start; our situational awareness was not at its peak.it also seems that the tower at ZZZ vectors aircraft in for very short approaches; not giving sufficient time to bleed energy and configure. Controllers could extend downwind sufficiently to configure.","Human Factors","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","General None Reported / Taken","Initial Approach","","","Communication Breakdown"
"OTHER","Fractional jet flight crew reported they failed to notice the aircraft descended below a published crossing restriction on an approach.","We were cleared for the RNAV XX at ZZZ. Durring the descent through 3000 the SIC (pilot flying) selected 1400 in the altitude sector for the final segment of the approach; then armed the VNAV on the autopilot. During the high workload and adverse flying conditions; while turning base in VMC with the airport in sight; we noticed that the aircraft had descended to 1400 and did not level off at 2000 and was indicated in the magenta altitude VNAV selection. We opted to stay at 1400 over the water instead of climbing back up to 2000 and then immediately descend back down to 1400. We were asked by ATC if we knew we had descended too low. We acknowledged that we did know and had the airport in sight and in VMC conditions. No traffic conflicts occurred. Verify and monitor the aircraft more closely. During the descent level off.","Weather; Software and Automation; Human Factors; Chart Or Publication","Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence","Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification","Initial Approach","","","Workload; Situational Awareness"
"OTHER","Air carrier First Officer reported being notified by Dispatch that unmanifested DG had been loaded onboard. The flight landed normally at destination.","Informed via ACARS from Dispatch that we had unmanifested DG. We received word from Dispatch later that it was a self-inflating life raft. We landed normally at ZZZ1. Cause: ZZZ DG.","Human Factors","Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy","","Parked","","","Communication Breakdown"
"OTHER","GA Flight Instructor reported a near miss with another aircraft when descending into the traffic pattern as the other aircraft climbed towards the instructor's aircraft after takeoff. The instructor maneuvered away from the aircraft and advised the tower of the conflict.","Aircraft X was inbound to RAL at 2500 about 2.5 to 3NM Southwest of RAL and was directed by RAL tower to maintain at or about 2300 for traffic and to enter left downwind for runway 27. Aircraft Y was taking off/Departing RAL; most likely flying the Riverside 2 Departure Procedure; and directed to remain at or below 1800. Once both aircraft reported the other was insight tower deleted altitude restrictions and directed both aircraft to maintain visual separation. Aircraft Y then turned and climbed directly towards Aircraft X. After which Aircraft X went full throttle and climbed rapidly to avoid a collision. Aircraft X rapid climb cause them to go above 2700MSL which put them briefly in shelf of the ONT Charlie Airspace above RAL. Aircraft X quickly descended back below 2700 and advised RAL tower of the situation.","Airspace Structure; Human Factors","Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR","Flight Crew Took Evasive Action","Descent","","","Communication Breakdown; Situational Awareness; Training / Qualification"
